id,name,created_at,updated_at
1,アディダス,20190705,20190705
2,アルマーニ,20190705,20190705
3,インシード,20190705,20190705
4,インデックス,20190705,20190705
5,ヴィヴィカ,20190705,20190705
6,ウブロ,20190705,20190705
7,エアウォーク,20190705,20190705
8,エンジェルハート,20190705,20190705
9,オクトパスアーミー,20190705,20190705
10,オフホワイト,20190705,20190705
11,カーリー,20190705,20190705
12,カールヘルム,20190705,20190705
13,キタムラ,20190705,20190705
14,ギャラクシー,20190705,20190705
15,クランプリュス,20190705,20190705
16,クロックス,20190705,20190705
17,ケイトスペード,20190705,20190705
18,ケーシーマルハン,20190705,20190705
19,コキチカ,20190705,20190705
20,コンバース,20190705,20190705
21,サマンサタバサ,20190705,20190705
22,サンヨー,20190705,20190705
23,シャネル,20190705,20190705
24,シュプリーム,20190705,20190705
25,ステファノブランキーニ,20190705,20190705
26,スプレイ,20190705,20190705
27,セシルマクビー,20190705,20190705
28,ゼニアスポーツ,20190705,20190705
29,ソーシャルウェア,20190705,20190705
30,ソロヴェアー,20190705,20190705
31,タビサシモンズ,20190705,20190705
32,ダブルアールエル,20190705,20190705
33,チェルシー,20190705,20190705
34,チャンミー,20190705,20190705
35,ツイードミル,20190705,20190705
36,ツツミ,20190705,20190705
37,ティアラ,20190705,20190705
38,ティファニー,20190705,20190705
39,トーチセレクト,20190705,20190705
40,ドクターショール,20190705,20190705
41,ナイキ,20190705,20190705
42,ナバーナ,20190705,20190705
43,ニールバレット,20190705,20190705
44,ニトカ,20190705,20190705
45,ヌォーボ,20190705,20190705
46,ヌメロウーノ,20190705,20190705
47,ネイキッドサン,20190705,20190705
48,ネストローブ,20190705,20190705
49,ノーザリー,20190705,20190705
50,ノワール,20190705,20190705
51,ハズキルーペ,20190705,20190705
52,パタゴニア,20190705,20190705
53,ヒューマンメード,20190705,20190705
54,ピピカカ,20190705,20190705
55,フィーニー,20190705,20190705
56,フライターグ,20190705,20190705
57,ベリーズベリー,20190705,20190705
58,ベルウッドメイド,20190705,20190705
59,ホットココ,20190705,20190705
60,ポポトコ,20190705,20190705
61,マーシー,20190705,20190705
62,マッキントッシュ,20190705,20190705
63,ミスティック,20190705,20190705
64,ミニマム,20190705,20190705
65,ムーミン,20190705,20190705
66,ムーリンセン,20190705,20190705
67,メイドインヘブン,20190705,20190705
68,メリッサ,20190705,20190705
69,モスキーノ,20190705,20190705
70,モロッカンオイル,20190705,20190705
71,ヤードプリュス,20190705,20190705
72,ヤポンスキー,20190705,20190705
73,ユーシーエス,20190705,20190705
74,ユナイテッドアローズ,20190705,20190705
75,ヨシエイナバ,20190705,20190705
76,ヨルグイゼック,20190705,20190705
77,ライトオン,20190705,20190705
78,ラッキーストア,20190705,20190705
79,リアクト,20190705,20190705
80,リサマリ,20190705,20190705
81,ルーバトラム,20190705,20190705
82,ルイヴィトン,20190705,20190705
83,レリッシュ,20190705,20190705
84,レクソン,20190705,20190705
85,ロイヤルアルマニー,20190705,20190705
86,ローランドベリー,20190705,20190705
87,ワイアールジー,20190705,20190705
88,ワンティースプーン,20190705,20190705